ID	AFR	EUR	NAT	UNK
HG00551	0.0774	0.765	0.1366	0.021
HG00553	0.1734	0.6331	0.1779	0.0155
HG00554	0.0704	0.8081	0.1106	0.0108
HG00637	0.1428	0.7205	0.1228	0.0139
HG00638	0.159	0.6848	0.1357	0.0205
HG00640	0.0666	0.8075	0.112	0.0139
HG00641	0.0799	0.7455	0.1582	0.0164
HG00731	0.021	0.8931	0.0714	0.0146
HG00732	0.0461	0.824	0.1163	0.0136
HG00733	0.0358	0.8518	0.099	0.0134
HG00734	0.1005	0.6935	0.1896	0.0163
HG00736	0.0484	0.8406	0.0988	0.0121
HG00737	0.0741	0.8068	0.1045	0.0146
HG00739	0.0472	0.8894	0.0548	0.0087
HG00740	0.1156	0.7258	0.1432	0.0154
HG00742	0.0478	0.8831	0.0554	0.0137
HG00743	0.0806	0.6844	0.2145	0.0206
HG01047	0.0776	0.8181	0.0887	0.0157
HG01048	0.1023	0.7427	0.1383	0.0166
HG01049	0.2159	0.6431	0.1229	0.0181
HG01051	0.206	0.6014	0.1762	0.0164
HG01052	0.2144	0.6044	0.1669	0.0143
HG01054	0.0538	0.773	0.1603	0.0129
HG01055	0.1192	0.7587	0.1074	0.0147
HG01058	0.1159	0.7258	0.1414	0.0169
HG01060	0.0823	0.7976	0.1055	0.0145
HG01061	0.0659	0.7945	0.1218	0.0178
HG01063	0.3538	0.5212	0.1126	0.0124
HG01064	0.1643	0.7056	0.1164	0.0137
HG01066	0.0575	0.8082	0.1206	0.0138
HG01067	0.065	0.788	0.1322	0.0148
HG01069	0.0706	0.7674	0.1487	0.0133
HG01070	0.0457	0.7966	0.142	0.0157
HG01072	0.072	0.7728	0.1409	0.0142
HG01073	0.0733	0.7624	0.1422	0.0221
HG01075	0.089	0.841	0.0561	0.0138
HG01077	0.1813	0.6303	0.1685	0.0199
HG01079	0.1526	0.7025	0.1293	0.0156
HG01080	0.0827	0.715	0.186	0.0162
HG01082	0.1868	0.6462	0.1522	0.0148
HG01083	0.0884	0.7362	0.1608	0.0146
HG01085	0.1169	0.7544	0.1135	0.0152
HG01086	0.1238	0.6848	0.1729	0.0185
HG01088	0.1737	0.7013	0.1103	0.0146
HG01089	0.1419	0.7043	0.1397	0.0141
HG01092	0.2359	0.6299	0.1214	0.0129
HG01094	0.1268	0.7392	0.1192	0.0148
HG01095	0.0969	0.7654	0.12	0.0177
HG01097	0.0859	0.7601	0.1373	0.0167
HG01098	0.0874	0.7671	0.1306	0.0149
HG01101	0.1389	0.6833	0.1614	0.0163
HG01102	0.1637	0.6945	0.1254	0.0164
HG01104	0.08	0.784	0.1236	0.0125
HG01105	0.0736	0.8368	0.0773	0.0124
HG01107	0.214	0.66	0.109	0.017
HG01108	0.6334	0.2924	0.0645	0.0097
HG01110	0.1154	0.7318	0.1354	0.0174
HG01111	0.1093	0.7404	0.1319	0.0185
HG01112	0.0142	0.9021	0.0747	0.009
HG01113	0.0118	0.7028	0.2737	0.0117
HG01119	0.0185	0.8453	0.127	0.0092
HG01121	0.0421	0.6539	0.2872	0.0168
HG01122	0.0608	0.7108	0.2128	0.0155
HG01124	0.1396	0.5757	0.2675	0.0171
HG01125	0.0896	0.655	0.2407	0.0146
HG01130	0.0556	0.6907	0.2384	0.0153
HG01131	0.0605	0.6747	0.2492	0.0156
HG01133	0.0189	0.8309	0.1374	0.0128
HG01134	0.1162	0.6607	0.2061	0.0171
HG01136	0.0812	0.6498	0.2484	0.0206
HG01137	0.0235	0.6168	0.3403	0.0193
HG01139	0.1666	0.53	0.2823	0.0212
HG01140	0.035	0.6889	0.2589	0.0173
HG01142	0.1792	0.4637	0.3404	0.0167
HG01148	0.0464	0.6901	0.2459	0.0175
HG01149	0.106	0.4636	0.4122	0.0183
HG01161	0.1756	0.6569	0.1525	0.015
HG01162	0.0921	0.7328	0.1579	0.0172
HG01164	0.094	0.7774	0.1162	0.0124
HG01167	0.2144	0.6412	0.1279	0.0164
HG01168	0.025	0.91	0.0583	0.0067
HG01170	0.1126	0.7308	0.1372	0.0194
HG01171	0.1833	0.6702	0.1308	0.0157
HG01173	0.0539	0.8766	0.0524	0.0171
HG01174	0.0644	0.8055	0.1155	0.0146
HG01176	0.0824	0.7498	0.1527	0.0151
HG01177	0.0723	0.7315	0.1752	0.021
HG01182	0.1273	0.7098	0.1423	0.0205
HG01183	0.1103	0.7148	0.1594	0.0155
HG01187	0.1756	0.5739	0.2332	0.0172
HG01188	0.203	0.5735	0.2037	0.0198
HG01190	0.1474	0.6317	0.205	0.0159
HG01191	0.0855	0.7115	0.1895	0.0135
HG01197	0.0619	0.7847	0.1357	0.0177
HG01198	0.1812	0.6584	0.1419	0.0184
HG01200	0.0405	0.8665	0.0818	0.0112
HG01204	0.0903	0.7565	0.1353	0.0179
HG01205	0.1103	0.7703	0.1068	0.0126
HG01241	0.6692	0.2524	0.0693	0.0091
HG01242	0.5027	0.4332	0.0548	0.0093
HG01247	0.1954	0.6355	0.1501	0.019
HG01248	0.1071	0.7695	0.1062	0.0172
HG01250	0.0731	0.616	0.29	0.0209
HG01251	0.0221	0.7159	0.2471	0.0149
HG01253	0.0465	0.7339	0.2045	0.015
HG01254	0.1689	0.5439	0.2684	0.0188
HG01256	0.0088	0.8169	0.1622	0.0121
HG01257	0.0163	0.6888	0.2767	0.0182
HG01259	0.0271	0.8447	0.1154	0.0128
HG01260	0.1228	0.5712	0.2873	0.0187
HG01269	0.069	0.6711	0.2439	0.016
HG01271	0.0752	0.6762	0.2355	0.0131
HG01272	0.1817	0.5217	0.2806	0.0159
HG01275	0.0088	0.9522	0.0318	0.0072
HG01277	0.0147	0.6444	0.3218	0.0191
HG01280	0.0191	0.7155	0.2512	0.0142
HG01281	0.0213	0.7241	0.2393	0.0153
HG01284	0.0611	0.7182	0.2063	0.0144
HG01286	0.2303	0.6203	0.1358	0.0136
HG01302	0.1062	0.6999	0.1772	0.0167
HG01303	0.1092	0.6932	0.1811	0.0165
HG01305	0.1433	0.6773	0.1632	0.0161
HG01308	0.2182	0.6186	0.1442	0.019
HG01311	0.084	0.8133	0.0894	0.0133
HG01312	0.1235	0.7295	0.1299	0.0171
HG01323	0.1041	0.7324	0.1492	0.0143
HG01325	0.1257	0.7638	0.0948	0.0157
HG01326	0.097	0.7051	0.1764	0.0215
HG01341	0.0114	0.415	0.5611	0.0125
HG01342	0.3385	0.4279	0.2213	0.0123
HG01344	0.0305	0.5647	0.385	0.0198
HG01345	0.0518	0.7227	0.2128	0.0126
HG01348	0.0409	0.5785	0.3593	0.0213
HG01350	0.0752	0.5561	0.3533	0.0153
HG01351	0.0129	0.6984	0.2699	0.0188
HG01353	0.0245	0.7724	0.1841	0.019
HG01354	0.014	0.8282	0.146	0.0118
HG01356	0.0552	0.6381	0.2868	0.02
HG01357	0.0133	0.7025	0.2695	0.0148
HG01359	0.0415	0.7073	0.2351	0.0161
HG01360	0.0581	0.709	0.2156	0.0173
HG01362	0.1154	0.6581	0.2127	0.0138
HG01363	0.1742	0.5108	0.2992	0.0157
HG01365	0.1431	0.5866	0.2566	0.0137
HG01366	0.1079	0.64	0.2373	0.0148
HG01369	0.1241	0.381	0.4818	0.0131
HG01372	0.036	0.6587	0.2875	0.0179
HG01374	0.018	0.7213	0.2421	0.0186
HG01375	0.1361	0.5656	0.2819	0.0164
HG01377	0.095	0.6045	0.2839	0.0166
HG01378	0.0426	0.5884	0.3491	0.0198
HG01383	0.0263	0.7347	0.2228	0.0162
HG01384	0.0522	0.7152	0.2185	0.0141
HG01389	0.0517	0.8017	0.1331	0.0135
HG01390	0.2725	0.4285	0.2825	0.0165
HG01392	0.1589	0.6549	0.1694	0.0168
HG01393	0.2085	0.6451	0.131	0.0154
HG01395	0.0734	0.7976	0.1171	0.0119
HG01396	0.1649	0.6229	0.1908	0.0214
HG01398	0.1597	0.6685	0.1527	0.0191
HG01402	0.156	0.653	0.1709	0.0202
HG01403	0.163	0.6502	0.1687	0.0181
HG01405	0.0903	0.7859	0.107	0.0168
HG01412	0.0807	0.6942	0.2089	0.0162
HG01413	0.1347	0.6661	0.1832	0.016
HG01414	0.1301	0.6998	0.1546	0.0156
HG01431	0.1056	0.6194	0.2592	0.0158
HG01432	0.0295	0.724	0.2338	0.0128
HG01435	0.0443	0.4567	0.483	0.016
HG01437	0.0103	0.8616	0.1166	0.0115
HG01438	0.0124	0.942	0.038	0.0077
HG01440	0.1644	0.5913	0.2284	0.016
HG01441	0.0197	0.5808	0.3813	0.0182
HG01443	0.0548	0.3932	0.5356	0.0164
HG01444	0.0982	0.6154	0.27	0.0164
HG01447	0.0661	0.6945	0.225	0.0144
HG01455	0.0373	0.5721	0.3766	0.014
HG01456	0.0494	0.5714	0.3651	0.0142
HG01459	0.0306	0.5625	0.395	0.0119
HG01461	0.1742	0.4471	0.3615	0.0173
HG01462	0.2839	0.4055	0.2897	0.0209
HG01464	0.1865	0.4977	0.2993	0.0165
HG01465	0.0139	0.8019	0.1697	0.0145
HG01468	0.017	0.8028	0.1642	0.0161
HG01474	0.013	0.8249	0.1493	0.0128
HG01479	0.0236	0.8467	0.1186	0.0112
HG01485	0.3616	0.3809	0.2426	0.0148
HG01486	0.0372	0.6124	0.3311	0.0193
HG01488	0.1417	0.7074	0.1348	0.016
HG01489	0.0146	0.8617	0.1118	0.012
HG01491	0.0091	0.8322	0.1469	0.0118
HG01492	0.0225	0.7644	0.202	0.0111
HG01494	0.0944	0.5002	0.3877	0.0177
HG01495	0.1222	0.4944	0.3632	0.0201
HG01497	0.0432	0.5894	0.3494	0.018
HG01498	0.0421	0.6177	0.3241	0.0161
HG01550	0.0583	0.7236	0.2029	0.0151
HG01551	0.3827	0.3868	0.2163	0.0142
HG01556	0.2317	0.4365	0.3144	0.0174
HG01565	0.009	0.3132	0.6638	0.014
HG01566	0.0141	0.5261	0.4418	0.0181
HG01571	0.0057	0.3467	0.6361	0.0115
HG01572	0.001	0.0784	0.915	0.0055
HG01577	0.0659	0.515	0.4092	0.0099
HG01578	0.0118	0.4039	0.5706	0.0137
HG01879	0.8356	0.1575	0.0012	0.0058
HG01880	0.548	0.4259	0.0101	0.016
HG01882	0.9581	0.0385	0.0003	0.0031
HG01883	0.8566	0.1386	0.0009	0.004
HG01885	0.9385	0.0579	0.0007	0.0028
HG01886	0.8825	0.1156	0.0	0.0019
HG01889	0.9664	0.0315	0.0006	0.0015
HG01890	0.8713	0.1233	0.0012	0.0041
HG01892	0.0639	0.2267	0.6976	0.0118
HG01893	0.1213	0.3156	0.5497	0.0134
HG01894	0.9067	0.0906	0.0	0.0027
HG01896	0.9638	0.0327	0.0015	0.002
HG01912	0.8922	0.0994	0.0008	0.0076
HG01914	0.844	0.1445	0.0067	0.0048
HG01915	0.9208	0.0719	0.0007	0.0066
HG01917	0.0154	0.1498	0.8214	0.0135
HG01918	0.0056	0.2419	0.7411	0.0115
HG01920	0.0006	0.0531	0.941	0.0052
HG01921	0.0032	0.2607	0.7243	0.0117
HG01923	0.0041	0.0851	0.9066	0.0041
HG01924	0.1132	0.2025	0.6699	0.0144
HG01926	0.0033	0.0374	0.9567	0.0027
