IND,POP,SUPERPOP
GM18501,YRI,AFR
GM18519,YRI,AFR
GM18856,YRI,AFR
GM18861,YRI,AFR
GM18864,YRI,AFR
GM18865,YRI,AFR
GM18871,YRI,AFR
GM18876,YRI,AFR
GM18924,YRI,AFR
GM19035,LWK,AFR
GM19041,LWK,AFR
GM19308,LWK,AFR
GM19312,LWK,AFR
GM19462,LWK,AFR
GM19471,LWK,AFR
GM19473,LWK,AFR
HG00105,GBR,EUR
HG00110,GBR,EUR
HG00121,GBR,EUR
HG00127,GBR,EUR
HG00136,GBR,EUR
HG00151,GBR,EUR
HG00331,FIN,EUR
HG00410,CHS,EAS
HG00473,CHS,EAS
HG00525,CHS,EAS
HG00599,CHS,EAS
HG00631,CHS,EAS
HG00675,CHS,EAS
HG00705,CHS,EAS
HG00706,CHS,EAS
HG00728,CHS,EAS
HG01046,CDX,EAS
HG01122,CLM,AMR
HG01281,CLM,AMR
HG01312,PUR,AMR
HG01363,CLM,AMR
HG01369,CLM,AMR
HG01372,CLM,AMR
HG01395,PUR,AMR
HG01414,PUR,AMR
HG01468,CLM,AMR
HG01501,IBS,EUR
HG01615,IBS,EUR
HG01695,IBS,EUR
HG01790,GBR,EUR
HG01797,CDX,EAS
HG01801,CDX,EAS
HG01812,CDX,EAS
HG01862,KHV,EAS
HG02048,KHV,EAS
HG02051,ACB,AFR
HG02102,PEL,AMR
HG02185,CDX,EAS
HG02252,PEL,AMR
HG02262,PEL,AMR
HG02282,ACB,AFR
HG02312,PEL,AMR
HG02345,PEL,AMR
HG02373,CDX,EAS
HG02389,CDX,EAS
HG02396,CDX,EAS
HG02409,CDX,EAS
HG02502,ACB,AFR
HG02614,GWD,AFR
HG02615,GWD,AFR
HG02694,PJL,SAS
HG02731,PJL,SAS
HG02817,GWD,AFR
HG02974,ESN,AFR
HG02979,ESN,AFR
HG03022,PJL,SAS
HG03069,MSL,AFR
HG03120,ESN,AFR
HG03121,ESN,AFR
HG03168,ESN,AFR
HG03279,ESN,AFR
HG03499,ESN,AFR
HG03548,MSL,AFR
HG03563,MSL,AFR
HG03571,MSL,AFR
HG03631,PJL,SAS
HG03643,STU,SAS
HG03646,STU,SAS
HG03668,PJL,SAS
HG03717,ITU,SAS
HG03731,ITU,SAS
HG03744,STU,SAS
HG03770,ITU,SAS
HG03774,ITU,SAS
HG03814,BEB,SAS
HG03861,ITU,SAS
HG03864,ITU,SAS
HG03868,ITU,SAS
HG03898,STU,SAS
HG03919,BEB,SAS
HG03971,ITU,SAS
HG04054,ITU,SAS
HG04063,ITU,SAS
HG04216,ITU,SAS
