Super Population,Individual,Total Repeat Length
AFR,HG01891,8178
AFR,HG01891,8692
AFR,HG02011,8178
AFR,HG02011,8632
AFR,HG02055,8692
AFR,HG02055,10008
AFR,HG02145,10336
AFR,HG02145,8692
AFR,HG02257,10336
AFR,HG02257,8632
AFR,HG02486,8692
AFR,HG02486,8178
AFR,HG02559,8178
AFR,HG02559,8632
AFR,HG02572,10336
AFR,HG02572,8692
AFR,HG02587,8632
AFR,HG02587,10008
AFR,HG02622,8692
AFR,HG02622,8178
AFR,HG02630,8692
AFR,HG02630,10336
AFR,HG02717,9956
AFR,HG02717,8632
AFR,HG02723,10706
AFR,HG02723,10706
AFR,HG02818,8662
AFR,HG02818,8178
AFR,HG02886,12053
AFR,HG02886,8632
AFR,HG03065,8692
AFR,HG03065,8692
AFR,HG03098,8178
AFR,HG03098,10008
AFR,HG03125,8662
AFR,HG03125,8692
AFR,HG03371,8632
AFR,HG03371,12053
AFR,HG03453,9978
AFR,HG03453,8692
AFR,HG03486,8632
AFR,HG03486,17084
AFR,HG03516,10008
AFR,HG03516,8692
AFR,HG03540,8721
AFR,HG03540,8632
AFR,HG03579,8632
AFR,HG03579,8632
AFR,NA18906,12053
AFR,NA18906,8178
AFR,NA19238,10008
AFR,NA19238,10008
AFR,NA19239,12053
AFR,NA19239,8178
AFR,NA19240,10008
AFR,NA19240,8178
AFR,NA19983,8178
AFR,NA19983,10336
AFR,NA21309,8178
AFR,NA21309,10008
AMR,HG00731,12053
AMR,HG00731,12053
AMR,HG00732,12053
AMR,HG00732,10008
AMR,HG00733,12053
AMR,HG00733,10008
AMR,HG00735,22692
AMR,HG00735,22692
AMR,HG00741,11543
AMR,HG00741,10008
AMR,HG01071,8662
AMR,HG01071,22692
AMR,HG01106,8662
AMR,HG01106,10008
AMR,HG01109,8178
AMR,HG01109,19812
AMR,HG01114,8178
AMR,HG01114,10008
AMR,HG01123,8692
AMR,HG01123,8178
AMR,HG01175,12053
AMR,HG01175,8178
AMR,HG01243,8662
AMR,HG01243,8178
AMR,HG01258,8178
AMR,HG01258,8662
AMR,HG01358,8178
AMR,HG01358,8692
AMR,HG01361,8662
AMR,HG01361,10008
AMR,HG01928,22692
AMR,HG01928,22692
AMR,HG01952,22692
AMR,HG01952,10008
AMR,HG01978,9561
AMR,HG01978,10038
AMR,HG02148,22692
AMR,HG02148,8692
AMR,NA19650,8178
AMR,NA19650,8178
EAS,HG00438,12053
EAS,HG00438,8692
EAS,HG005,8692
EAS,HG005,8692
EAS,HG00512,8692
EAS,HG00512,10008
EAS,HG00513,8692
EAS,HG00513,10008
EAS,HG00514,8692
EAS,HG00514,10008
EAS,HG00621,8178
EAS,HG00621,16350
EAS,HG00673,8178
EAS,HG00673,10008
EAS,HG00864,8208
EAS,HG00864,16350
EAS,HG01596,8692
EAS,HG01596,8692
EAS,HG02080,8692
EAS,HG02080,8662
EAS,NA18534,8692
EAS,NA18534,8692
EAS,NA18939,10008
EAS,NA18939,10008
EUR,HG00096,8178
EUR,HG00096,8178
EUR,HG00171,10008
EUR,HG00171,8178
EUR,HG002,10008
EUR,HG002,10008
EUR,HG01505,9119
EUR,HG01505,10008
EUR,NA12329,8662
EUR,NA12329,8178
EUR,NA12878,8662
EUR,NA12878,10008
EUR,NA20509,9119
EUR,NA20509,8662
EUR,NA24385,10008
EUR,NA24385,10008
SAS,HG02492,8662
SAS,HG02492,8178
SAS,HG03009,10008
SAS,HG03009,8178
SAS,HG03683,9956
SAS,HG03683,8178
SAS,HG03732,8692
SAS,HG03732,8178
SAS,NA20847,8178
SAS,NA20847,14987
