IND,LR_REPEAT_COPIES,SR_REPEAT_COPIES
NA19983,305,288.13
HG00096,296,298.0
HG02572,313,299.41
HG02622,305,301.07
HG02818,304,307.14
HG01258,304,308.89
HG01358,305,310.72
HG01891,305,313.67
HG02717,333,316.97
HG02630,313,318.45
NA19650,296,319.47
HG02011,304,319.54
HG02492,304,320.31
HG01596,313,323.0
HG03125,313,323.16
HG02145,313,326.28
HG02257,312,328.58
HG00673,327,328.87
HG01243,304,330.27
NA19240,327,331.08
NA18534,313,333.0
HG01361,335,333.58
HG00514,335,333.86
NA12329,304,334.17
HG03065,313,341.01
HG03579,311,341.16
HG03009,327,343.0
HG02587,334,343.46
HG00513,335,344.0
HG01106,335,344.75
HG01175,361,347.47
HG02080,313,347.95
HG00512,335,348.27
NA12878,335,353.0
HG00741,355,354.72
HG01978,350,358.21
HG00438,334,359.39
HG02055,335,360.14
HG03098,327,360.69
HG01505,361,360.72
HG01114,327,366.21
HG00171,327,367.0
HG03453,335,368.91
HG02886,408,371.11
HG02723,380,372.46
NA19238,357,375.0
NA18939,357,377.0
NA18906,369,381.9
NA19239,346,386.0
HG00732,403,391.0
HG00733,397,403.94
NA20847,402,420.0
HG00731,449,420.0
HG00864,495,444.0
HG00621,432,454.69
HG03486,454,484.25
HG01109,489,490.2
HG02148,550,526.82
HG01071,545,560.47
HG00735,779,574.45
HG01952,568,593.35
HG01928,779,821.38
