indiv,sumRef,sumAlt,sum_all_archaic,pop,nea_unq_counts,den_unq_counts,nea_and_den_both_counts,AFR_percent,EUR_percent,NAT_percent,AFR,EUR,NAT,count_for_all_ancestries
NA19648,834,9932,10766,MXL,6688,510,2821,0.0031623249841017,0.9319565052796844,0.05722369848006,18712083.0,5514565254.0,338603591.0,5917191653.0
NA19649,731,10883,11614,MXL,7473,318,3043,0.0259306500698324,0.7286514659907051,0.2248307121644625,153164424.0,4303921490.0,1328006295.0,5906694340.0
NA19651,648,9822,10470,MXL,6645,102,2974,0.0511184372794498,0.6820818311171428,0.2446489564321964,300945298.0,4015563285.0,1440301328.0,5887216316.0
NA19652,754,11163,11917,MXL,7505,409,3099,0.0291239855832762,0.6882595839553,0.2617604705473196,170599338.0,4031612674.0,1533312220.0,5857692022.0
NA19654,527,10198,10725,MXL,6940,456,2540,0.0553522408801504,0.3731968014177065,0.5458543270939057,325292789.0,2193194466.0,3207864282.0,5876777233.0
NA19655,617,9541,10158,MXL,6625,323,2574,0.0348556990814692,0.6319244727798486,0.3075978775370122,205373380.0,3723364279.0,1812398473.0,5892103312.0
NA19657,713,9833,10546,MXL,6614,561,2653,0.0518360629634796,0.369839270503207,0.5553875230969745,305789907.0,2181745867.0,3276327123.0,5899173076.0
NA19658,835,11383,12218,MXL,7599,553,3088,0.015599076763339,0.6761350111197274,0.2927046093563701,91241419.0,3954818531.0,1712074651.0,5849155074.0
NA19661,771,10131,10902,MXL,6826,560,2807,0.0423488783150337,0.4856743640503735,0.4572555123043085,249190424.0,2857818330.0,2690595348.0,5884227255.0
NA19663,728,11847,12575,MXL,8010,761,2931,0.0645396019221027,0.3226783764453043,0.5840882931949424,379496109.0,1897365101.0,3434468574.0,5880050352.0
NA19664,718,9653,10371,MXL,6342,857,2467,0.0429514902853074,0.4311193393004006,0.5025800669140347,251989550.0,2529308473.0,2948557176.0,5866840669.0
NA19669,768,10449,11217,MXL,6886,538,3057,0.0165581907468749,0.6602475041064575,0.2998840403879108,97147113.0,3873680396.0,1759423430.0,5867012555.0
NA19670,904,10784,11688,MXL,7913,306,2722,0.0373347818606319,0.4769205263146551,0.4652263758365338,218653518.0,2793115312.0,2724627778.0,5856563427.0
NA19676,767,10030,10797,MXL,6889,427,2741,0.0322717820634834,0.655173447307175,0.2911485537313593,190507680.0,3867638087.0,1718716227.0,5903227768.0
NA19678,702,9380,10082,MXL,6682,193,2553,0.066718851111444,0.7174748898318525,0.1993001451670487,393030740.0,4226536911.0,1174047248.0,5890849939.0
NA19679,506,7890,8396,MXL,5591,137,2081,0.0193262402246768,0.9319777434619118,0.0419914441113455,113344620.0,5465867233.0,246271609.0,5864804467.0
NA19681,714,11211,11925,MXL,7228,458,3380,0.0527841154172417,0.3844227039551962,0.5436453892359739,311864202.0,2271283299.0,3212018126.0,5908296455.0
NA19682,723,11338,12061,MXL,7622,342,3266,0.0155780555735526,0.4973564986931484,0.4617517317516524,91949211.0,2935638368.0,2725481830.0,5902483180.0
NA19684,855,11871,12726,MXL,7692,432,3684,0.0097474104581434,0.7126136525379838,0.2646209971248412,57426028.0,4198301871.0,1558991781.0,5891413750.0
NA19716,804,12452,13256,MXL,8175,721,3470,0.0438737713144314,0.4001342961822502,0.5303689386183392,259297766.0,2364828142.0,3134526092.0,5910086100.0
NA19717,581,11096,11677,MXL,6920,1121,2846,0.0343198645632937,0.3750046684729779,0.5600156288990048,201716291.0,2204104002.0,3291512860.0,5877537501.0
NA19719,947,9856,10803,MXL,6708,537,2851,0.0529486496546336,0.5159209912677661,0.4070244391581514,310250957.0,3023022916.0,2384946974.0,5859468731.0
NA19720,859,11754,12613,MXL,8073,499,3209,0.0453582105172607,0.2962766147935062,0.6372022994183597,264683138.0,1728891489.0,3718327999.0,5835396392.0
NA19722,537,9369,9906,MXL,6269,333,2609,0.0425869006755055,0.4764470191632424,0.453829964412472,250666318.0,2804365148.0,2671241259.0,5885995788.0
NA19723,984,10714,11698,MXL,7387,674,2845,0.0799961297065411,0.4249405492515217,0.4627843655178865,465463630.0,2472549251.0,2692746405.0,5818576870.0
NA19725,711,10329,11040,MXL,6961,535,2839,0.0226038128296229,0.621893201457505,0.3313721481448579,133671943.0,3677683637.0,1959632175.0,5913690049.0
NA19726,760,11161,11921,MXL,7579,523,2982,0.0149829165460749,0.3786051793195024,0.5863828268576204,87994954.0,2223555423.0,3443837501.0,5873019030.0
NA19728,756,11849,12605,MXL,7724,910,3119,0.0061614846252425,0.0743199968090171,0.911885065370868,35379276.0,426745799.0,5236048675.0,5742005077.0
NA19729,729,12123,12852,MXL,7658,1007,3292,0.0103717957744773,0.1022364043401767,0.8761000684505408,59264685.0,584181219.0,5006056397.0,5714023520.0
NA19731,656,11670,12326,MXL,7703,918,2861,0.0068045210300627,0.0510729127088957,0.9337563908461404,39488307.0,296388658.0,5418817704.0,5803245640.0
NA19732,743,10927,11670,MXL,7642,372,2874,0.0071871622134548,0.0563444499642883,0.932220783986375,41406907.0,324613433.0,5370739961.0,5761231731.0
NA19734,663,9652,10315,MXL,6643,254,2712,0.0142401822584511,0.3733836443104336,0.5918731287537131,83902098.0,2199948747.0,3487272589.0,5891925853.0
NA19735,639,11863,12502,MXL,7264,881,3514,0.0217119401612894,0.1230386000089398,0.8428133571869927,126023687.0,714159025.0,4891983210.0,5804349407.0
NA19740,689,11873,12562,MXL,8009,656,3049,0.0314862850486407,0.2178674913990328,0.7313869066363957,185214330.0,1281579627.0,4302296561.0,5882381161.0
NA19741,534,13661,14195,MXL,8894,725,3661,0.0079770215908908,0.1602484653419768,0.8186849511763639,46907229.0,942308025.0,4814107878.0,5880293599.0
NA19746,519,11615,12134,MXL,7748,459,3102,0.0483416890593257,0.2831038108156935,0.6515507714957619,282828481.0,1656330640.0,3811970963.0,5850612308.0
NA19747,774,10456,11230,MXL,6956,436,3025,0.0223654935637605,0.4253557759459827,0.5267652663600224,131642153.0,2503622376.0,3100513458.0,5885948934.0
NA19749,721,9900,10621,MXL,6478,434,2920,0.0347601480691411,0.5849164132887961,0.3501690581932974,205559435.0,3458992384.0,2070778111.0,5913652456.0
NA19750,441,9713,10154,MXL,6366,574,2544,0.026961288202764,0.6635293629696308,0.2871625145066434,158262094.0,3894900927.0,1685636848.0,5869975233.0
NA19752,520,9065,9585,MXL,5917,379,2601,0.0239080361289197,0.4522220151392448,0.5041688180468131,141195107.0,2670714377.0,2977499692.0,5905759312.0
NA19755,820,10678,11498,MXL,6991,644,3100,0.0448004291218444,0.2653287331551773,0.6635802542653852,263462808.0,1560347846.0,3902389342.0,5880809920.0
NA19756,639,9743,10382,MXL,6576,428,2653,0.0540117666268679,0.4432608718773693,0.4727037750088533,317959465.0,2609412698.0,2782738814.0,5886855492.0
NA19758,684,11824,12508,MXL,7720,857,3090,0.0196590026662946,0.2322516977056627,0.7271594291633129,115858826.0,1368757586.0,4285458383.0,5893423383.0
NA19759,734,10842,11576,MXL,7148,794,2864,0.0319067413358603,0.2517109712105667,0.6982715063335788,188334374.0,1485762137.0,4121653341.0,5902651481.0
NA19761,773,10459,11232,MXL,6886,479,3078,0.0397167081218446,0.3911977299454024,0.5402976777720226,234632284.0,2311058021.0,3191887852.0,5907646809.0
NA19762,569,11135,11704,MXL,7193,595,3122,0.0555296507761512,0.3257633076345268,0.5951851053232873,325980368.0,1912355677.0,3493965061.0,5870383902.0
NA19764,739,10103,10842,MXL,7278,280,2602,0.0454295147602114,0.5439582645250917,0.3909779713333737,267646882.0,3204716894.0,2303437215.0,5891475694.0
NA19770,587,11593,12180,MXL,7842,343,3149,0.0491771166182274,0.5391051778614543,0.3843798720257687,290272496.0,3182118358.0,2268837877.0,5902592831.0
NA19771,837,10135,10972,MXL,7163,203,2857,0.0489011653133223,0.4533780072124898,0.469861710116168,287685288.0,2667220336.0,2764193870.0,5882994529.0
NA19773,748,8695,9443,MXL,5942,588,2297,0.0243874960463328,0.6018638087213771,0.3524363166398042,144287253.0,3560893479.0,2085169707.0,5916443932.0
NA19774,722,10005,10727,MXL,6809,443,2774,0.048182502685601,0.4693528232373069,0.4587458625946024,278606655.0,2713948276.0,2652615434.0,5782320126.0
NA19776,649,11166,11815,MXL,7624,438,2945,0.0896204815916682,0.4485288766068797,0.4366608424209743,526596547.0,2635488601.0,2565753807.0,5875850449.0
NA19777,777,10883,11660,MXL,7289,483,3171,0.0777824228350357,0.4415551670742634,0.4556265770626794,457475574.0,2596996804.0,2679757486.0,5881477554.0
NA19779,655,9291,9946,MXL,6068,383,2788,0.0315499558250885,0.6470855871668602,0.2990092939206046,186669125.0,3828560047.0,1769124609.0,5916620804.0
NA19780,792,12005,12797,MXL,7444,625,3800,0.0274928108546663,0.6058223031533115,0.3389758853957681,161438019.0,3557393713.0,1990469280.0,5872008499.0
NA19782,820,9767,10587,MXL,6595,663,2653,0.0559485985327806,0.4611271108794906,0.4601890102781065,327580892.0,2699914462.0,2694421852.0,5855033023.0
NA19783,783,12609,13392,MXL,8400,531,3560,0.0140959446273631,0.2545277029527642,0.7143336788412151,81598372.0,1473405773.0,4135123030.0,5788783523.0
NA19785,640,11923,12563,MXL,7633,603,3337,0.0422599272649164,0.262917934041705,0.6726201076024031,247944225.0,1542572068.0,3946345441.0,5867123799.0
NA19786,658,10861,11519,MXL,7178,590,2995,0.0373522457955303,0.3862876975993084,0.5524413016743639,219467142.0,2269674960.0,3245928351.0,5875607673.0
NA19788,564,10526,11090,MXL,7134,426,2810,0.0386264754061892,0.3116305750879412,0.6300422172723291,225504048.0,1819320956.0,3678230253.0,5838069501.0
NA19789,576,11373,11949,MXL,7475,491,3162,0.057016458324437,0.4838136694849022,0.4300546639009792,336788967.0,2857825806.0,2540278198.0,5906872803.0
NA19792,512,9472,9984,MXL,6089,538,2653,0.0434989442456711,0.6343227965184608,0.2994870038677385,254727846.0,3714565547.0,1753782321.0,5855954677.0
NA19794,710,10080,10790,MXL,6879,408,2738,0.021910568536478,0.6364444750705813,0.3199236759431248,126813226.0,3683591182.0,1851643117.0,5787765196.0
NA19795,726,9107,9833,MXL,5865,509,2762,0.0572446214501702,0.462532885764441,0.450560493340076,335897899.0,2714033574.0,2643782407.0,5867763477.0
