IDX,IND,POP,LOC
9,B_Karitiana-3.DG,Karitiana,Brazil
12,B_Mixe-1.DG,Mixe,Mexico
61,S_Chane-1.DG,Chane,Argentina
133,S_Karitiana-1.DG,Karitiana,Brazil
134,S_Karitiana-2.DG,Karitiana,Brazil
167,S_Mayan-1.DG,Mayan,Mexico
168,S_Mayan-2.DG,Mayan,Mexico
176,S_Mixe-2.DG,Mixe,Mexico
177,S_Mixe-3.DG,Mixe,Mexico
178,S_Mixtec-1.DG,Mixtec,Mexico
179,S_Mixtec-2.DG,Mixtec,Mexico
212,S_Piapoco-1.DG,Piapoco,Colombia
213,S_Piapoco-2.DG,Piapoco,Colombia
214,S_Pima-1.DG,Pima,Mexico
215,S_Pima-2.DG,Pima,Mexico
221,S_Quechua-1.DG,Quechua,Peru
222,S_Quechua-2.DG,Quechua,Peru
223,S_Quechua-3.DG,Quechua,Peru
242,S_Surui-1.DG,Surui,Brazil
243,S_Surui-2.DG,Surui,Brazil
276,S_Zapotec-1.DG,Zapotec,Mexico
277,S_Zapotec-2.DG,Zapotec,Mexico
